risk_rank,unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status,peer_median,peer_count,peer_baseline,cost_deviation_pct,cost_risk,contractor_peer_count,contractor_project_count,contractor_concentration,contractor_risk,similar_project_id,similar_project_name,text_similarity,text_similarity_risk,cost_contribution,contractor_contribution,text_similarity_contribution,risk_score,risk_band,anomaly_score,anomaly_flag,top_risk_signal,risk_explanation,rf_anomaly_probability,rf_anomaly_prediction
442,WS/52899/2023/00276,Jammu And Kashmir,BARAMULLAH,ANITA JOSHI,Road Construction,"Widening and strengthening of road near Ram Nagar village, BARAMULLAH",2421934.99,2023-06-10,2024-04-03,Bharat Infra Solutions,New Recommendation,1739649.9849999999,18,state + work_category,39.219671248984056,13.073223749661352,18,1,0.05555555555555555,5.555555555555555,WS/39135/2023/00286,"Widening and strengthening of road near Shanti Nagar village, BARAMULLAH",0.9647156540172663,96.47156540172664,5.882950687347608,1.6666666666666665,24.11789135043166,31.667508704445936,Medium,66.73407482305359,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/39135/2023/00286.,9.456245030486942,0
443,WS/91006/2024/00134,Maharashtra,AURANGABAD_MH,RAVI SHANKAR PRASAD JI,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, AURANGABAD_MH",358525.4,2024-09-21,2024-12-09,Progressive Engineers & Contractors,New Recommendation,358807.4,9,constituency + work_category,-0.0785936967855178,0.0,9,2,0.2222222222222222,22.22222222222222,WS/95542/2023/00838,"Solar street light at Shanti Nagar chowk parisar, AURANGABAD_MH",1.0000000000000004,100.0,0.0,6.666666666666666,25.0,31.666666666666664,Medium,40.647118301314464,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/95542/2023/00838.,18.081551591665104,0
444,WS/71548/2024/00934,Kerala,KOTTAYAM,SANJAY DESHMUKH,Solar Light Installation,"Solar street light at Ram Nagar chowk parisar, KOTTAYAM",259120.46,2024-04-25,2024-08-21,Ganesh Engineering Works,Ongoing,293516.93,9,constituency + work_category,-11.718734588836153,0.0,9,2,0.2222222222222222,22.22222222222222,WS/22223/2025/00941,"Solar street light at Ram Nagar chowk parisar, KOTTAYAM",1.0000000000000002,100.0,0.0,6.666666666666666,25.0,31.666666666666664,Medium,51.97168857431749,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/22223/2025/00941.,17.291909409237515,0
445,WS/51800/2023/00237,West Bengal,MURSHIDABAD,ANITA JOSHI,School Building Repair,"Repair and renovation of Govt. School building at Ram Nagar, MURSHIDABAD",887620.42,2023-07-09,2024-04-18,Deep Construction Co.,Sanctioned,1021864.43,9,constituency + work_category,-13.137164388822105,0.0,9,2,0.2222222222222222,22.22222222222222,WS/32939/2024/00512,"Repair and renovation of Govt. School building at Ram Nagar, MURSHIDABAD",1.0,100.0,0.0,6.666666666666666,25.0,31.666666666666664,Medium,52.88169868554095,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/32939/2024/00512.,71.6216275697547,1
446,WS/23970/2023/00043,West Bengal,MURSHIDABAD,PRIYA VERMA,School Building Repair,"Repair and renovation of Govt. School building at Subhash Nagar, MURSHIDABAD",959514.01,2023-08-30,2024-09-28,Deep Construction Co.,Completed,1021864.43,9,constituency + work_category,-6.101633266557682,0.0,9,2,0.2222222222222222,22.22222222222222,WS/12596/2024/00799,"Repair and renovation of Govt. School building at Subhash Nagar, MURSHIDABAD",0.9999999999999999,99.99999999999999,0.0,6.666666666666666,24.999999999999996,31.666666666666664,Medium,46.916076845298285,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/12596/2024/00799.,40.2340571199843,0
447,WS/22223/2025/00941,Kerala,KOTTAYAM,SANJAY DESHMUKH,Solar Light Installation,"Solar street light at Ram Nagar chowk parisar, KOTTAYAM",293516.93,2025-11-27,2026-07-10,Ganesh Engineering Works,Ongoing,293516.93,9,constituency + work_category,0.0,0.0,9,2,0.2222222222222222,22.22222222222222,WS/71548/2024/00934,"Solar street light at Ram Nagar chowk parisar, KOTTAYAM",1.0000000000000002,100.0,0.0,6.666666666666666,25.0,31.666666666666664,Medium,40.3943377148635,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/71548/2024/00934.,18.30682631693983,0
448,WS/87207/2025/00404,Bihar,AURANGABAD_BR,ANITA JOSHI,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, AURANGABAD_BR",721280.76,2025-06-30,2026-05-02,Sri Lakshmi Contractors,New Recommendation,816376.1,9,constituency + work_category,-11.648471825669562,0.0,9,2,0.2222222222222222,22.22222222222222,WS/15695/2025/00004,"Repair and renovation of Govt. School building at Kisan Nagar, AURANGABAD_BR",1.0,100.0,0.0,6.666666666666666,25.0,31.666666666666664,Medium,51.66835187057634,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/15695/2025/00004.,71.8716275697547,1
449,WS/53369/2023/00047,Jammu And Kashmir,BARAMULLAH,PRIYA VERMA,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, BARAMULLAH",306963.69,2023-11-06,2024-02-06,Sri Lakshmi Contractors,Sanctioned,503772.11,9,constituency + work_category,-39.066954302015645,0.0,9,2,0.2222222222222222,22.22222222222222,WS/94498/2025/00384,"Water supply pipeline extension to Station Road area, BARAMULLAH",0.9999999999999999,99.99999999999999,0.0,6.666666666666666,24.999999999999996,31.666666666666664,Medium,74.11526794742164,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/94498/2025/00384.,40.417931312939956,0
450,WS/20917/2023/00681,Uttar Pradesh,BADAUN,ABHIJIT GANGOPADHYAY,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, BADAUN",663104.83,2023-10-01,2024-03-02,Sri Lakshmi Contractors,Completed,719185.46,9,constituency + work_category,-7.797798081179229,0.0,9,2,0.2222222222222222,22.22222222222222,WS/31798/2025/00021,"Water supply pipeline extension to Subhash Nagar area, BADAUN",1.0000000000000002,100.0,0.0,6.666666666666666,25.0,31.666666666666664,Medium,48.53387259858442,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/31798/2025/00021.,16.871163488491597,0
451,WS/59412/2023/00232,West Bengal,HOWRAH,ABU TAHER KHAN,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, HOWRAH",411982.85,2023-12-15,2025-01-15,National Builders & Contractors,Sanctioned,714243.84,9,constituency + work_category,-42.319019510199766,0.0,9,2,0.2222222222222222,22.22222222222222,WS/30892/2023/00349,"Water supply pipeline extension to Ram Nagar area, HOWRAH",0.9999999999999998,99.99999999999997,0.0,6.666666666666666,24.999999999999993,31.666666666666657,Medium,76.23862487360971,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/30892/2023/00349.,10.143590407535305,0
452,WS/39402/2025/00339,West Bengal,KANTHI,ADITYA YADAV,Drainage / Nala,"Construction of drainage/nala near Kisan Nagar area, KANTHI",1153275.92,2025-10-27,2026-07-20,Shree Balaji Construction Co.,Ongoing,899584.34,7,constituency + work_category,28.200977798257355,9.400325932752452,7,1,0.14285714285714285,14.285714285714285,WS/49515/2025/00872,"Construction of drainage/nala near Kisan Nagar area, AURANGABAD_MH",0.9256749893882159,92.56749893882159,4.230146669738604,4.285714285714286,23.141874734705397,31.657735690158287,Medium,32.45702730030334,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/49515/2025/00872.,4.674191016148427,0
453,WS/11699/2025/00367,Uttar Pradesh,VARANASI,ABDUL RASHID SHEIKH,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, VARANASI",942576.51,2025-12-05,2026-07-13,United Rural Builders,Completed,1112755.5899999999,8,constituency + work_category,-15.293482371991487,0.0,8,2,0.25,25.0,WS/15737/2023/00456,"Repair and renovation of Govt. School building at Shanti Nagar, VARANASI",0.9662202247298437,96.62202247298437,0.0,7.5,24.155505618246092,31.655505618246092,Medium,36.400404448938325,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/15737/2023/00456.,4.392068977832798,0
454,WS/60039/2025/00603,West Bengal,MURSHIDABAD,RAVI SHANKAR PRASAD JI,School Building Repair,"Construction of additional classroom at Nehru Path school, MURSHIDABAD",1394345.81,2025-05-13,2025-09-20,Ganesh Engineering Works,Ongoing,1021864.43,9,constituency + work_category,36.4511542886369,12.150384762878968,9,1,0.1111111111111111,11.11111111111111,WS/39329/2025/00324,"Construction of additional classroom at Nehru Path school, TAMLUK",0.9141572273125382,91.41572273125382,5.467673143295536,3.333333333333333,22.853930682813456,31.654937159442326,Medium,61.071789686552066,False,Text Similarity,Project description has 0.91 semantic similarity with project WS/39329/2025/00324.,5.136456206806511,0
455,WS/55068/2025/00594,West Bengal,KANTHI,RAJESH KUMAR SHARMA,Drainage / Nala,"Covered drain construction from Shanti Nagar to Vivekanand Marg, KANTHI",484639.83,2025-03-25,2025-06-10,Progressive Engineers & Contractors,New Recommendation,899584.34,7,constituency + work_category,-46.12624870726407,0.0,7,2,0.2857142857142857,28.57142857142857,WS/82910/2024/00113,"Covered drain construction from Vivekanand Marg to Ram Nagar, AURANGABAD_MH",0.9232927010613353,92.32927010613354,0.0,8.571428571428571,23.082317526533384,31.653746097961957,Medium,79.37310414560162,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/82910/2024/00113.,4.023581645395693,0
456,WS/59425/2024/00761,Jammu And Kashmir,BARAMULLAH,ADITYA YADAV,School Building Repair,"Construction of additional classroom at Bazaar Road school, BARAMULLAH",1608435.57,2024-05-10,2024-10-28,Bharat Infra Solutions,Sanctioned,1372095.45,5,constituency + work_category,17.224757942313715,5.741585980771238,5,1,0.2,20.0,WS/19556/2024/00742,"Construction of additional classroom at Bazaar Road school, AURANGABAD_BR",0.9224015058437558,92.24015058437558,2.5837136913470573,6.0,23.060037646093896,31.643751337440953,Medium,26.59251769464105,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/19556/2024/00742.,6.096091104677333,0
457,WS/49602/2024/00325,Kerala,KOTTAYAM,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Panchayat Bhavan Marg school, KOTTAYAM",1592220.64,2024-07-14,2025-01-19,Ganesh Engineering Works,Sanctioned,1614055.3199999998,8,constituency + work_category,-1.3527838686470757,0.0,8,2,0.25,25.0,WS/41420/2025/00943,"Construction of additional classroom at Panchayat Bhavan Marg school, AURANGABAD_MH",0.961855088988169,96.18550889881689,0.0,7.5,24.046377224704223,31.546377224704223,Medium,17.087967644084934,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/41420/2025/00943.,3.993551185726584,0
458,WS/80189/2024/00923,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Drainage / Nala,"Covered drain construction from Kisan Nagar to Shanti Nagar, HOWRAH",614348.63,2024-06-03,2025-04-05,Om Sai Infra Pvt Ltd,Sanctioned,711107.83,7,constituency + work_category,-13.606825282742275,0.0,7,2,0.2857142857142857,28.57142857142857,WS/11850/2024/00658,"Covered drain construction from Kisan Nagar to Station Road, HOWRAH",0.9180108665461757,91.80108665461756,0.0,8.571428571428571,22.95027166365439,31.52170023508296,Medium,58.54398382204246,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/11850/2024/00658.,4.37898651094147,0
459,WS/36712/2023/00476,Maharashtra,PUNE,ABHIJIT GANGOPADHYAY,Community Hall,"Multipurpose community centre building at Station Road panchayat, PUNE",2625153.93,2023-04-24,2023-12-09,Ganesh Engineering Works,Ongoing,2859576.19,8,constituency + work_category,-8.197797310656716,0.0,8,2,0.25,25.0,WS/83498/2025/00987,"Multipurpose community centre building at Shanti Nagar panchayat, PUNE",0.9601205776695292,96.01205776695292,0.0,7.5,24.00301444173823,31.50301444173823,Medium,21.638018200202225,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/83498/2025/00987.,4.502385660505332,0
460,WS/65797/2023/00579,Uttar Pradesh,LUCKNOW,AASHTIKAR PATIL NAGESH BAPURAO,School Building Repair,"Construction of additional classroom at Station Road school, LUCKNOW",1772257.66,2023-05-12,2024-03-07,Deep Construction Co.,Completed,1163663.745,20,state + work_category,52.29980891086365,17.433269636954552,20,2,0.1,10.0,WS/51853/2024/00165,"Construction of additional classroom at Kisan Nagar school, SRINAGAR",0.8259224840577991,82.59224840577991,7.844971336629548,3.0,20.648062101444978,31.493033438074526,Medium,96.96663296258848,True,Text Similarity,Project description has 0.83 semantic similarity with project WS/51853/2024/00165.,5.767076340227836,0
461,WS/62725/2025/00201,Uttar Pradesh,BADAUN,MEERA IYER,Streetlight Installation,"Installation of streetlights at Ambedkar Colony chowk, BADAUN",452410.64,2025-09-10,2025-12-03,Ganesh Engineering Works,Completed,445472.48,7,constituency + work_category,1.5574834162595257,0.5191611387531753,7,2,0.2857142857142857,28.57142857142857,WS/37479/2023/00231,"Installation of streetlights at Ambedkar Colony chowk, AURANGABAD_BR",0.906404358959179,90.6404358959179,0.23362251243892887,8.571428571428571,22.660108973979476,31.465160057846976,Medium,56.825075834175934,False,Text Similarity,Project description has 0.91 semantic similarity with project WS/37479/2023/00231.,5.138983496689012,0
462,WS/70693/2025/00856,Maharashtra,AURANGABAD_MH,PRIYA VERMA,Drainage / Nala,"Construction of drainage/nala near Bazaar Road area, AURANGABAD_MH",1130750.73,2025-11-07,2026-12-01,United Rural Builders,Completed,864694.21,9,constituency + work_category,30.76885642613474,10.256285475378245,9,1,0.1111111111111111,11.11111111111111,WS/75230/2024/00089,"Construction of drainage/nala near Bazaar Road area, KANPUR",0.9400533561871948,94.00533561871947,4.615328463920211,3.333333333333333,23.501333904679868,31.44999570193341,Medium,33.77148634984833,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/75230/2024/00089.,3.9111760274453755,0
463,WS/92802/2023/00146,Maharashtra,PUNE,RAVI SHANKAR PRASAD JI,Community Hall,"Construction of community hall at Shanti Nagar, PUNE",3533772.16,2023-09-27,2024-07-20,Deep Construction Co.,Sanctioned,2859576.19,8,constituency + work_category,23.576779396809854,7.858926465603284,8,1,0.125,12.5,WS/18232/2023/00142,"Construction of community hall at Ram Nagar, PUNE",0.9657666711369393,96.57666711369393,3.536516909521478,3.75,24.144166778423482,31.43068368794496,Medium,28.51365015166835,False,Text Similarity,Project description has 0.97 semantic similarity with project WS/18232/2023/00142.,4.5476751229004,0
464,WS/86271/2024/00145,Bihar,PATNA_SAHIB,AASHTIKAR PATIL NAGESH BAPURAO,Community Hall,"Construction of community hall at Kisan Nagar, PATNA_SAHIB",3471300.04,2024-03-19,2024-09-18,Deep Construction Co.,Completed,2633655.8600000003,8,constituency + work_category,31.80537718394231,10.601792394647436,8,1,0.125,12.5,WS/80206/2025/00206,"Construction of community hall at Kisan Nagar, SRINAGAR",0.9163874905936147,91.63874905936147,4.770806577591347,3.75,22.909687264840368,31.430493842431716,Medium,50.353892821031344,False,Text Similarity,Project description has 0.92 semantic similarity with project WS/80206/2025/00206.,5.7232144772536016,0
465,WS/54597/2025/00003,Kerala,ERNAKULAM,ADV ADOOR PRAKASH,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, ERNAKULAM",1224971.96,2025-07-07,2025-09-08,National Builders & Contractors,Sanctioned,934267.0,9,constituency + work_category,31.11583305414833,10.371944351382776,9,1,0.1111111111111111,11.11111111111111,WS/65372/2025/00492,"Repair and renovation of Govt. School building at Nehru Path, SRINAGAR",0.936764120488756,93.6764120488756,4.66737495812225,3.333333333333333,23.4191030122189,31.419811303674486,Medium,37.917087967644086,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/65372/2025/00492.,4.054758019905055,0
466,WS/10547/2024/00801,Uttar Pradesh,KANPUR,ABHAY KUMAR SINHA,Community Hall,"Multipurpose community centre building at Andouli panchayat, KANPUR",1841640.87,2024-07-24,2024-12-31,National Builders & Contractors,Ongoing,2130894.795,8,constituency + work_category,-13.574294032662454,0.0,8,2,0.25,25.0,WS/54092/2023/00059,"Multipurpose community centre building at Andouli panchayat, AURANGABAD_BR",0.9566475642945738,95.66475642945737,0.0,7.5,23.916189107364342,31.416189107364342,Medium,23.96359959555106,False,Text Similarity,Project description has 0.96 semantic similarity with project WS/54092/2023/00059.,4.182848313794072,0
467,WS/85066/2024/00247,Jammu And Kashmir,JAMMU,ADV GOWAAL KAGADA PADAVI,Drainage / Nala,"Covered drain construction from Ram Nagar to Nehru Path, JAMMU",1002666.18,2024-10-31,2025-09-09,United Rural Builders,Completed,837027.615,6,constituency + work_category,19.78890087156803,6.596300290522676,6,1,0.16666666666666666,16.666666666666664,WS/46977/2024/00443,"Covered drain construction from Nehru Path to Shanti Nagar, SRINAGAR",0.9378719995935105,93.78719995935106,2.9683351307352046,4.999999999999999,23.446799989837764,31.41513512057297,Medium,7.583417593528817,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/46977/2024/00443.,5.06663980286694,0
468,WS/18639/2024/00130,Bihar,PATNA_SAHIB,ADV GOWAAL KAGADA PADAVI,School Building Repair,"Construction of additional classroom at Vivekanand Marg school, PATNA_SAHIB",972277.16,2024-03-12,2025-03-13,Shree Balaji Construction Co.,New Recommendation,1414472.25,7,constituency + work_category,-31.262196200738472,0.0,7,2,0.2857142857142857,28.57142857142857,WS/49289/2023/00227,"Construction of additional classroom at Ambedkar Colony school, PATNA_SAHIB",0.9130985255995181,91.3098525599518,0.0,8.571428571428571,22.82746313998795,31.398891711416525,Medium,75.53083923154702,False,Text Similarity,Project description has 0.91 semantic similarity with project WS/49289/2023/00227.,4.286680005339967,0
469,WS/98832/2024/00737,Jammu And Kashmir,SRINAGAR,ADV ADOOR PRAKASH,Streetlight Installation,"LED streetlight installation along Station Road road, SRINAGAR",478004.49,2024-01-06,2024-06-12,Progressive Engineers & Contractors,Completed,449703.55,11,constituency + work_category,6.293243626829276,2.0977478756097585,11,2,0.18181818181818182,18.181818181818183,WS/56388/2024/00225,"LED streetlight installation along Station Road road, SRINAGAR",1.0000000000000002,100.0,0.9439865440243913,5.454545454545455,25.0,31.398531998569847,Medium,31.445904954499493,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/56388/2024/00225.,17.31778496776263,0
470,WS/98940/2025/00403,Uttar Pradesh,BADAUN,ABHAY KUMAR SINHA,School Building Repair,"Construction of additional classroom at Panchayat Bhavan Marg school, BADAUN",1323149.66,2025-10-10,2026-10-13,United Rural Builders,Completed,1283055.99,8,constituency + work_category,3.124857396129683,1.0416191320432275,8,2,0.25,25.0,WS/41420/2025/00943,"Construction of additional classroom at Panchayat Bhavan Marg school, AURANGABAD_MH",0.9359907139500135,93.59907139500136,0.4687286094194524,7.5,23.39976784875034,31.368496458169794,Medium,18.402426693629927,False,Text Similarity,Project description has 0.94 semantic similarity with project WS/41420/2025/00943.,5.155202883851727,0
471,WS/60436/2023/00446,Jammu And Kashmir,BARAMULLAH,ADV DEAN KURIAKOSE,Solar Light Installation,"Solar light installation near Ambedkar Colony hanuman mandir, BARAMULLAH",233552.09,2023-04-13,2023-08-13,Deep Construction Co.,Ongoing,280850.19999999995,12,constituency + work_category,-16.841045511094514,0.0,12,3,0.25,25.0,WS/64702/2024/00611,"Solar light installation near Ambedkar Colony hanuman mandir, LUCKNOW",0.9547318686073777,95.47318686073777,0.0,7.5,23.868296715184442,31.368296715184442,Medium,26.188068756319517,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/64702/2024/00611.,4.227720108665867,0
472,WS/96556/2025/00478,Jammu And Kashmir,JAMMU,ADV DEAN KURIAKOSE,Road Construction,"CC road construction at Nehru Path ward, JAMMU",1590433.39,2025-11-23,2026-01-26,Om Sai Infra Pvt Ltd,Sanctioned,1597751.75,8,constituency + work_category,-0.45804111934160624,0.0,8,2,0.25,25.0,WS/31596/2023/00588,"CC road construction at Nehru Path ward, SRINAGAR",0.9543315118196722,95.43315118196722,0.0,7.5,23.858287795491805,31.358287795491805,Medium,12.234580384226492,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/31596/2023/00588.,4.559254759302974,0
473,WS/90698/2025/00182,Jammu And Kashmir,BARAMULLAH,RAVI SHANKAR PRASAD JI,Community Hall,"Construction of community hall at Kisan Nagar, BARAMULLAH",3832559.83,2025-03-13,2025-09-28,National Builders & Contractors,Completed,3517762.94,6,constituency + work_category,8.948780670251763,2.982926890083921,6,1,0.16666666666666666,16.666666666666664,WS/32571/2024/00612,"Construction of community hall at Kisan Nagar, BARAMULLAH",1.0,100.0,1.3423171005377645,4.999999999999999,25.0,31.342317100537763,Medium,28.412537917087967,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/32571/2024/00612.,78.07187905097415,1
474,WS/27888/2023/00781,West Bengal,KANTHI,PRIYA VERMA,Solar Light Installation,"Solar street light at Vivekanand Marg chowk parisar, KANTHI",168041.25,2023-05-09,2023-07-13,Bharat Infra Solutions,Completed,301057.32,20,state + work_category,-44.18297153512162,0.0,20,5,0.25,25.0,WS/67780/2024/00913,"Solar street light at Vivekanand Marg chowk parisar, AURANGABAD_MH",0.953560432801466,95.3560432801466,0.0,7.5,23.83901082003665,31.33901082003665,Medium,53.791708796764404,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/67780/2024/00913.,4.005267577830102,0
475,WS/78271/2023/00794,Jammu And Kashmir,JAMMU,MEERA IYER,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, JAMMU",814132.34,2023-08-16,2024-03-05,New India Construction Co.,Completed,717170.38,5,constituency + work_category,13.52007315193357,4.506691050644523,5,1,0.2,20.0,WS/70931/2025/00058,"Water supply pipeline extension to Subhash Nagar area, SRINAGAR",0.9316082577764087,93.16082577764087,2.0280109727900357,6.0,23.290206444410217,31.318217417200252,Medium,15.672396359959556,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/70931/2025/00058.,6.564758404803553,0
476,WS/94717/2024/00973,West Bengal,MURSHIDABAD,ADV DEAN KURIAKOSE,Water Supply / Handpump,"Installation of handpump at Subhash Nagar village, SRINAGAR",423351.66,2024-09-13,2025-06-21,Om Sai Infra Pvt Ltd,Completed,400792.35,11,constituency + work_category,5.628677792877034,1.8762259309590115,11,2,0.18181818181818182,18.181818181818183,WS/39683/2023/00974,"Installation of handpump at Subhash Nagar village, SRINAGAR",1.0000000000000004,100.0,0.8443016689315552,5.454545454545455,25.0,31.29884712347701,Medium,30.83923154701719,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/39683/2023/00974.,17.908062745540413,0
477,WS/59105/2025/00935,Kerala,KOTTAYAM,SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Gandhi Chowk school, KOTTAYAM",1671191.0,2025-01-20,2025-10-09,Ganesh Engineering Works,Completed,1614055.3199999998,8,constituency + work_category,3.5398836267892095,1.1799612089297364,8,2,0.25,25.0,WS/27324/2023/00885,"Construction of additional classroom at Gandhi Chowk school, ATTINGAL",0.9304340219901777,93.04340219901776,0.5309825440183814,7.5,23.26085054975444,31.291833093772823,Medium,23.154701718907987,False,Text Similarity,Project description has 0.93 semantic similarity with project WS/27324/2023/00885.,5.294637705210364,0
478,WS/98696/2023/00001,Kerala,ATTINGAL,AASHTIKAR PATIL NAGESH BAPURAO,Water Supply / Handpump,"Installation of handpump at Kisan Nagar village, ATTINGAL",392520.52,2023-11-15,2024-03-25,Deep Construction Co.,Completed,472150.405,8,constituency + work_category,-16.86536412057086,0.0,8,2,0.25,25.0,WS/13314/2025/00942,"Installation of handpump at Kisan Nagar village, AURANGABAD_MH",0.9506602924793233,95.06602924793232,0.0,7.5,23.76650731198308,31.26650731198308,Medium,22.04246713852376,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/13314/2025/00942.,4.38156626251202,0
479,WS/24769/2023/00570,Uttar Pradesh,LUCKNOW,MEERA IYER,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, LUCKNOW",319262.49,2023-10-31,2024-05-19,Shree Balaji Construction Co.,Ongoing,290270.605,6,constituency + work_category,9.987881824961233,3.3292939416537446,6,1,0.16666666666666666,16.666666666666664,WS/86810/2024/00297,"Solar street light at Ram Nagar chowk parisar, LUCKNOW",0.9896933444050898,98.96933444050899,1.498182273744185,4.999999999999999,24.742333610127247,31.24051588387143,Medium,19.312436804853387,False,Text Similarity,Project description has 0.99 semantic similarity with project WS/86810/2024/00297.,4.686081950037769,0
480,WS/77537/2024/00319,Jammu And Kashmir,SRINAGAR,ADITYA YADAV,Solar Light Installation,"Solar street light at Shanti Nagar chowk parisar, SRINAGAR",242509.63,2024-08-09,2025-06-29,New India Construction Co.,Completed,262058.81,9,constituency + work_category,-7.4598446051098195,0.0,9,2,0.2222222222222222,22.22222222222222,WS/94466/2025/00651,"Solar street light at Subhash Nagar chowk parisar, SRINAGAR",0.9822810622498824,98.22810622498824,0.0,6.666666666666666,24.55702655624706,31.223693222913724,Medium,32.153690596562186,False,Text Similarity,Project description has 0.98 semantic similarity with project WS/94466/2025/00651.,4.8192274687787595,0
481,WS/36680/2024/00078,Maharashtra,NANDURBAR(ST),ANITA JOSHI,Community Hall,"Construction of community hall at Nehru Path, NANDURBAR(ST)",3056584.68,2024-08-23,2025-09-07,Metro Civil Works Pvt Ltd,Completed,2827636.605,6,constituency + work_category,8.09679980076507,2.69893326692169,6,1,0.16666666666666666,16.666666666666664,WS/41051/2025/00202,"Construction of community hall at Nehru Path, NANDURBAR(ST)",1.0,100.0,1.2145199701147604,4.999999999999999,25.0,31.214519970114758,Medium,26.895854398382202,False,Text Similarity,Project description has 1.00 semantic similarity with project WS/41051/2025/00202.,77.49503274358892,1
482,WS/28569/2024/00236,Kerala,IDUKKI,RAJESH KUMAR SHARMA,Road Construction,"Widening and strengthening of road near Vivekanand Marg village, IDUKKI",1620710.84,2024-01-28,2024-10-26,Om Sai Infra Pvt Ltd,Completed,1266207.67,6,constituency + work_category,27.99723760953053,9.332412536510176,6,1,0.16666666666666666,16.666666666666664,WS/93354/2023/00278,"Widening and strengthening of road near Kisan Nagar village, IDUKKI",0.8797561132154512,87.97561132154512,4.19958564142958,4.999999999999999,21.99390283038628,31.193488471815858,Medium,62.1840242669363,False,Text Similarity,Project description has 0.88 semantic similarity with project WS/93354/2023/00278.,4.754973806935162,0
483,WS/95990/2025/00131,Bihar,PATNA_SAHIB,ABU TAHER KHAN,Community Hall,"Multipurpose community centre building at Kisan Nagar panchayat, PATNA_SAHIB",1703754.97,2025-02-08,2025-06-20,New India Construction Co.,New Recommendation,2633655.8600000003,8,constituency + work_category,-35.308367510096794,0.0,8,2,0.25,25.0,WS/65771/2024/00062,"Multipurpose community centre building at Kisan Nagar panchayat, SRINAGAR",0.9476210641554399,94.762106415544,0.0,7.5,23.690526603886,31.190526603886,Medium,42.871587462082914,False,Text Similarity,Project description has 0.95 semantic similarity with project WS/65771/2024/00062.,3.7706657256372162,0
484,WS/52647/2024/00526,Jammu And Kashmir,JAMMU,ABHAY KUMAR SINHA,Water Supply / Handpump,"Water supply pipeline extension to Station Road area, JAMMU",851604.28,2024-11-08,2025-09-13,Om Sai Infra Pvt Ltd,Sanctioned,717170.38,5,constituency + work_category,18.74504354181499,6.248347847271663,5,1,0.2,20.0,WS/55029/2025/00537,"Water supply pipeline extension to Station Road area, SRINAGAR",0.8949691906679322,89.49691906679323,2.811756531272249,6.0,22.374229766698306,31.185986297970555,Medium,52.679474216380186,False,Text Similarity,Project description has 0.89 semantic similarity with project WS/55029/2025/00537.,6.357335409314835,0
