unique_work_number,state,constituency,mp_name,work_category,work_name,sanction_amount,date_of_administrative_approval,expected_completion_date,implementing_agency_name,work_status
WS/10803/2024/00507,Maharashtra,NANDURBAR(ST),ADV GOWAAL KAGADA PADAVI,Community Hall,"Multipurpose community centre building at Ram Nagar panchayat, NANDURBAR(ST)",3475488.76,10-02-2024,10-09-2024,United Rural Builders,New Recommendation
WS/43728/2024/00211,Bihar,AURANGABAD_BR,ADITYA YADAV,Community Hall,"Multipurpose community centre building at Ambedkar Colony panchayat, AURANGABAD_BR",2075046.57,04-11-2024,08-05-2025,Metro Civil Works Pvt Ltd,New Recommendation
WS/38014/2025/00704,Bihar,AURANGABAD_BR,ABDUL RASHID SHEIKH,Streetlight Installation,"LED streetlight installation along Ram Nagar road, AURANGABAD_BR",300521.82,12-04-2025,14-08-2025,United Rural Builders,New Recommendation
WS/37076/2023/00517,Kerala,ATTINGAL,ADV DEAN KURIAKOSE,Drainage / Nala,"Covered drain construction from Station Road to Vivekanand Marg, ATTINGAL",441746.41,27-07-2023,02-10-2023,Jai Hind Infrastructure,Completed
WS/30220/2024/00532,Uttar Pradesh,LUCKNOW,ADHIKARI SOUMENDU,School Building Repair,"Repair and renovation of Govt. School building at Nehru Path, LUCKNOW",594696.41,20-10-2024,03-07-2025,New India Construction Co.,Sanctioned
WS/46002/2024/00126,Kerala,KOTTAYAM,ADV K FRANCIS GEORGE,Drainage / Nala,"Covered drain construction from Bazaar Road to Andouli, KOTTAYAM",695786.53,24-07-2024,06-05-2025,Progressive Engineers & Contractors,New Recommendation
WS/68192/2024/00900,West Bengal,MURSHIDABAD,ANITA JOSHI,Water Supply / Handpump,"Installation of handpump at Panchayat Bhavan Marg village, MURSHIDABAD",864136.04,25-07-2024,21-04-2025,Deep Construction Co.,New Recommendation
WS/62183/2024/00408,Uttar Pradesh,KANPUR,ADHIKARI SOUMENDU,Community Hall,"Construction of community hall at Kisan Nagar, KANPUR",2897734.57,08-08-2024,13-02-2025,Bharat Infra Solutions,New Recommendation
WS/65797/2023/00579,Uttar Pradesh,LUCKNOW,AASHTIKAR PATIL NAGESH BAPURAO,School Building Repair,"Construction of additional classroom at Station Road school, LUCKNOW",1772257.66,12-05-2023,07-03-2024,Deep Construction Co.,Completed
WS/75035/2025/00300,Uttar Pradesh,BADAUN,ADHIKARI SOUMENDU,Streetlight Installation,"Installation of streetlights at Shanti Nagar chowk, BADAUN",293197.61,07-07-2025,15-07-2026,Ganesh Engineering Works,Completed
WS/27771/2025/00251,Kerala,KOTTAYAM,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Subhash Nagar road, KOTTAYAM",270304.38,26-08-2025,15-07-2026,Progressive Engineers & Contractors,Completed
WS/37471/2023/00571,West Bengal,MURSHIDABAD,ADHIKARI SOUMENDU,Water Supply / Handpump,"Water supply pipeline extension to Subhash Nagar area, MURSHIDABAD",845871.13,26-05-2023,19-06-2024,New India Construction Co.,New Recommendation
WS/55121/2025/00322,Jammu And Kashmir,SRINAGAR,VIKRAM SINGH RATHORE,Streetlight Installation,"Installation of streetlights at Shanti Nagar chowk, SRINAGAR",350746.54,09-12-2025,07-10-2026,Jai Hind Infrastructure,New Recommendation
WS/42406/2025/00045,West Bengal,HOWRAH,RAVI SHANKAR PRASAD JI,School Building Repair,"Construction of additional classroom at Panchayat Bhavan Marg school, HOWRAH",1656091.34,01-05-2025,28-02-2026,Metro Civil Works Pvt Ltd,New Recommendation
WS/60202/2024/00290,Kerala,KOTTAYAM,VIKRAM SINGH RATHORE,School Building Repair,"Repair and renovation of Govt. School building at Shanti Nagar, KOTTAYAM",1635890.0,03-08-2024,02-11-2024,Om Sai Infra Pvt Ltd,New Recommendation
WS/61583/2025/00778,Jammu And Kashmir,BARAMULLAH,SANJAY DESHMUKH,School Building Repair,"Repair and renovation of Govt. School building at Kisan Nagar, BARAMULLAH",938531.0,03-02-2025,06-07-2025,Deep Construction Co.,Completed
WS/49515/2025/00872,Maharashtra,AURANGABAD_MH,ADITYA YADAV,Drainage / Nala,"Construction of drainage/nala near Kisan Nagar area, AURANGABAD_MH",934194.05,03-11-2025,21-02-2026,Om Sai Infra Pvt Ltd,New Recommendation
WS/18639/2024/00130,Bihar,PATNA_SAHIB,ADV GOWAAL KAGADA PADAVI,School Building Repair,"Construction of additional classroom at Vivekanand Marg school, PATNA_SAHIB",972277.16,12-03-2024,13-03-2025,Shree Balaji Construction Co.,New Recommendation
WS/62699/2023/00857,Bihar,AURANGABAD_BR,MEERA IYER,Community Hall,"Construction of community hall at Vivekanand Marg, AURANGABAD_BR",2245876.62,19-07-2023,19-09-2023,New India Construction Co.,Ongoing
WS/50730/2025/00079,Bihar,PATNA_SAHIB,VIKRAM SINGH RATHORE,Road Construction,"CC road construction at Station Road ward, PATNA_SAHIB",849078.05,05-01-2025,11-01-2026,Ganesh Engineering Works,Ongoing
WS/57540/2024/00904,West Bengal,MURSHIDABAD,ABDUL RASHID SHEIKH,Water Supply / Handpump,"Installation of handpump at Bazaar Road village, MURSHIDABAD",2240447.61,02-01-2024,26-04-2024,Om Sai Infra Pvt Ltd,Completed
WS/10088/2025/00256,Maharashtra,HINGOLI,MEERA IYER,Road Construction,"CC road construction at Subhash Nagar ward, HINGOLI",1011203.2,26-08-2025,13-01-2026,Metro Civil Works Pvt Ltd,Sanctioned
WS/42493/2024/00016,Kerala,KOTTAYAM,PRIYA VERMA,Water Supply / Handpump,"Water supply pipeline extension to Gandhi Chowk area, KOTTAYAM",654914.64,22-06-2024,12-05-2025,Metro Civil Works Pvt Ltd,Completed
WS/37470/2025/00768,Kerala,ERNAKULAM,ADV K FRANCIS GEORGE,Solar Light Installation,"Solar light installation near Ambedkar Colony hanuman mandir, ERNAKULAM",130056.55,14-08-2025,17-01-2026,Sri Lakshmi Contractors,Sanctioned
WS/69925/2024/00423,Uttar Pradesh,KANPUR,VIKRAM SINGH RATHORE,Streetlight Installation,"LED streetlight installation along Ram Nagar road, KANPUR",164653.19,21-03-2024,07-12-2024,Progressive Engineers & Contractors,Ongoing
WS/57124/2025/00233,Uttar Pradesh,KANPUR,RAVI SHANKAR PRASAD JI,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, KANPUR",565573.09,07-09-2025,08-06-2026,United Rural Builders,Completed
WS/99166/2024/00011,Kerala,ERNAKULAM,ABHAY KUMAR SINHA,School Building Repair,"Construction of additional classroom at Kisan Nagar school, ERNAKULAM",934267.0,23-07-2024,18-06-2025,Bharat Infra Solutions,Completed
WS/31567/2025/00095,Jammu And Kashmir,BARAMULLAH,ABU TAHER KHAN,Solar Light Installation,"Solar street light at Nehru Path chowk parisar, BARAMULLAH",288792.72,20-12-2025,24-08-2026,United Rural Builders,New Recommendation
WS/13667/2024/00713,Maharashtra,AURANGABAD_MH,ABU TAHER KHAN,Road Construction,"CC road construction at Shanti Nagar ward, AURANGABAD_MH",1431494.5,18-04-2024,19-11-2024,Bharat Infra Solutions,Sanctioned
WS/82733/2025/00244,Jammu And Kashmir,JAMMU,PRIYA VERMA,School Building Repair,"Construction of additional classroom at Shanti Nagar school, JAMMU",660055.18,10-01-2025,11-12-2025,Deep Construction Co.,Ongoing
WS/82848/2024/00060,Jammu And Kashmir,SRINAGAR,ADITYA YADAV,Community Hall,"Construction of community hall at Andouli, SRINAGAR",3494580.89,14-03-2024,03-10-2024,Jai Hind Infrastructure,New Recommendation
WS/24444/2023/00970,West Bengal,MURSHIDABAD,ADV GOWAAL KAGADA PADAVI,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, BARAMULLAH",302034.8,14-07-2023,26-11-2023,Metro Civil Works Pvt Ltd,Completed
WS/11526/2025/00352,West Bengal,MURSHIDABAD,VIKRAM SINGH RATHORE,Community Hall,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, MURSHIDABAD",3159276.61,16-01-2025,30-09-2025,National Builders & Contractors,Completed
WS/40102/2024/00199,Maharashtra,HINGOLI,ADV GOWAAL KAGADA PADAVI,School Building Repair,"Construction of additional classroom at Gandhi Chowk school, HINGOLI",1342899.8,09-10-2024,13-07-2025,United Rural Builders,Sanctioned
WS/61508/2025/00650,Kerala,KOTTAYAM,ABHIJIT GANGOPADHYAY,Streetlight Installation,"Installation of streetlights at Nehru Path chowk, KOTTAYAM",540128.82,26-08-2025,08-06-2026,Sri Lakshmi Contractors,Completed
WS/10841/2025/00808,Kerala,KOTTAYAM,ABU TAHER KHAN,Community Hall,"Construction of community hall at Shanti Nagar, KOTTAYAM",3371825.18,08-11-2025,29-07-2026,Deep Construction Co.,New Recommendation
WS/73201/2025/00727,Maharashtra,HINGOLI,MEERA IYER,Solar Light Installation,"Solar street light at Nehru Path chowk parisar, HINGOLI",317255.47,28-01-2025,22-06-2025,Shree Balaji Construction Co.,Completed
WS/36145/2025/00916,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Water Supply / Handpump,"Installation of handpump at Subhash Nagar village, HOWRAH",275843.83,08-12-2025,28-08-2026,Om Sai Infra Pvt Ltd,Sanctioned
WS/49507/2024/00119,Uttar Pradesh,VARANASI,ABDUL RASHID SHEIKH,Drainage / Nala,"Covered drain construction from Gandhi Chowk to Shanti Nagar, VARANASI",655737.06,04-12-2024,02-03-2025,Shree Balaji Construction Co.,Ongoing
WS/40924/2023/00646,Uttar Pradesh,VARANASI,VIKRAM SINGH RATHORE,Road Construction,Construction of concrete road from Subhash Nagar to Gandhi Chowk in VARANASI,1204730.65,04-08-2023,11-03-2024,New India Construction Co.,Sanctioned
WS/36475/2024/00643,Maharashtra,NANDURBAR(ST),ADV GOWAAL KAGADA PADAVI,School Building Repair,"Repair and renovation of Govt. School building at Shanti Nagar, NANDURBAR(ST)",1079535.29,20-06-2024,23-03-2025,Progressive Engineers & Contractors,Completed
WS/47313/2023/00441,West Bengal,MURSHIDABAD,ADV DEAN KURIAKOSE,Road Construction,"CC road construction at Panchayat Bhavan Marg ward, MURSHIDABAD",1517806.95,02-12-2023,21-10-2024,Jai Hind Infrastructure,New Recommendation
WS/80189/2024/00923,West Bengal,HOWRAH,ABHIJIT GANGOPADHYAY,Drainage / Nala,"Covered drain construction from Kisan Nagar to Shanti Nagar, HOWRAH",614348.63,03-06-2024,05-04-2025,Om Sai Infra Pvt Ltd,Sanctioned
WS/55663/2025/00891,Uttar Pradesh,VARANASI,ADHIKARI SOUMENDU,Water Supply / Handpump,"Water supply pipeline extension to Ram Nagar area, VARANASI",497671.18,01-10-2025,03-05-2026,Jai Hind Infrastructure,New Recommendation
WS/96652/2024/00397,Uttar Pradesh,VARANASI,ADITYA YADAV,Drainage / Nala,"Covered drain construction from Gandhi Chowk to Subhash Nagar, VARANASI",468215.11,05-04-2024,08-04-2025,Deep Construction Co.,Completed
WS/89415/2024/00054,Jammu And Kashmir,SRINAGAR,ABHIJIT GANGOPADHYAY,Streetlight Installation,"Installation of streetlights at Bazaar Road chowk, SRINAGAR",576490.66,20-07-2024,27-01-2025,New India Construction Co.,Ongoing
WS/22223/2025/00941,Kerala,KOTTAYAM,SANJAY DESHMUKH,Solar Light Installation,"Solar street light at Ram Nagar chowk parisar, KOTTAYAM",293516.93,27-11-2025,10-07-2026,Ganesh Engineering Works,Ongoing
WS/17944/2024/00019,Maharashtra,HINGOLI,SANJAY DESHMUKH,Community Hall,"Multipurpose community centre building at Subhash Nagar panchayat, HINGOLI",2558946.56,22-07-2024,17-10-2024,Progressive Engineers & Contractors,Completed
WS/12441/2025/00389,Bihar,AURANGABAD_BR,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Construction of drainage/nala near Station Road area, AURANGABAD_BR",536911.19,24-09-2025,09-10-2026,Om Sai Infra Pvt Ltd,Completed
WS/27627/2024/00629,Maharashtra,NANDURBAR(ST),RAVI SHANKAR PRASAD JI,Water Supply / Handpump,"Water supply pipeline extension to Nehru Path area, NANDURBAR(ST)",802252.49,05-02-2024,28-06-2024,Metro Civil Works Pvt Ltd,Sanctioned
WS/73060/2025/00685,Maharashtra,NANDURBAR(ST),ABHIJIT GANGOPADHYAY,Solar Light Installation,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, NANDURBAR(ST)",105559.84,19-12-2025,24-05-2026,Shree Balaji Construction Co.,Ongoing
WS/58434/2025/00027,Maharashtra,AURANGABAD_MH,ADITYA YADAV,Streetlight Installation,"LED streetlight installation along Nehru Path road, AURANGABAD_MH",269340.19,11-11-2025,07-07-2026,Om Sai Infra Pvt Ltd,Ongoing
WS/61060/2023/00847,Bihar,GAYA,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Shanti Nagar road, GAYA",271974.29,11-07-2023,03-10-2023,National Builders & Contractors,New Recommendation
WS/65444/2024/00022,Jammu And Kashmir,SRINAGAR,ABDUL RASHID SHEIKH,Drainage / Nala,"Covered drain construction from Kisan Nagar to Kisan Nagar, SRINAGAR",641075.81,04-05-2024,15-11-2024,Metro Civil Works Pvt Ltd,New Recommendation
WS/53463/2023/00234,Maharashtra,NANDURBAR(ST),RAJESH KUMAR SHARMA,Drainage / Nala,"Construction of drainage/nala near Subhash Nagar area, NANDURBAR(ST)",882299.86,16-05-2023,28-04-2024,Progressive Engineers & Contractors,Sanctioned
WS/97537/2025/00750,Bihar,AURANGABAD_BR,ADITYA YADAV,Water Supply / Handpump,"Water supply pipeline extension to Ambedkar Colony area, AURANGABAD_BR",835950.15,13-06-2025,16-09-2025,New India Construction Co.,Ongoing
WS/51012/2025/00490,Kerala,KOTTAYAM,MEERA IYER,Drainage / Nala,"Construction of drainage/nala near Subhash Nagar area, KOTTAYAM",684800.11,03-06-2025,23-08-2025,Jai Hind Infrastructure,Sanctioned
WS/90967/2023/00442,Bihar,PATNA_SAHIB,ADITYA YADAV,Solar Light Installation,"Solar street light at Ambedkar Colony chowk parisar, PATNA_SAHIB",123962.38,18-08-2023,13-03-2024,Om Sai Infra Pvt Ltd,Sanctioned
WS/24125/2025/00359,Jammu And Kashmir,BARAMULLAH,PRIYA VERMA,Drainage / Nala,"Construction of drainage/nala near Subhash Nagar area, BARAMULLAH",711341.41,09-06-2025,13-11-2025,Deep Construction Co.,New Recommendation
WS/56590/2023/00680,Maharashtra,AURANGABAD_MH,ABHIJIT GANGOPADHYAY,Streetlight Installation,"Installation of streetlights at Nehru Path chowk, AURANGABAD_MH",341211.08,06-07-2023,28-04-2024,Progressive Engineers & Contractors,New Recommendation
WS/66694/2025/00738,Kerala,ERNAKULAM,AASHTIKAR PATIL NAGESH BAPURAO,School Building Repair,"Repair and renovation of Govt. School building at Subhash Nagar, ERNAKULAM",1297352.8,21-11-2025,18-12-2026,Shree Balaji Construction Co.,New Recommendation
WS/87609/2023/00876,Uttar Pradesh,KANPUR,PRIYA VERMA,Streetlight Installation,"LED streetlight installation along Kisan Nagar road, KANPUR",272172.39,06-10-2023,06-12-2023,National Builders & Contractors,Ongoing
WS/46325/2023/00586,Kerala,IDUKKI,ADV ADOOR PRAKASH,Community Hall,"Multipurpose community centre building at Andouli panchayat, IDUKKI",2381779.17,30-12-2023,11-11-2024,Progressive Engineers & Contractors,Sanctioned
WS/89609/2024/00853,Kerala,ATTINGAL,SANJAY DESHMUKH,Water Supply / Handpump,"Installation of handpump at Ambedkar Colony village, ATTINGAL",574027.38,19-03-2024,20-09-2024,Deep Construction Co.,Completed
WS/23970/2023/00043,West Bengal,MURSHIDABAD,PRIYA VERMA,School Building Repair,"Repair and renovation of Govt. School building at Subhash Nagar, MURSHIDABAD",959514.01,30-08-2023,28-09-2024,Deep Construction Co.,Completed
WS/93354/2023/00278,Kerala,IDUKKI,ABU TAHER KHAN,Road Construction,"Widening and strengthening of road near Kisan Nagar village, IDUKKI",2385075.81,25-04-2023,21-10-2023,United Rural Builders,New Recommendation
WS/40704/2024/00734,Kerala,KOTTAYAM,ADITYA YADAV,Road Construction,Construction of concrete road from Ambedkar Colony to Vivekanand Marg in KOTTAYAM,2187677.4,31-12-2024,03-08-2025,Deep Construction Co.,Ongoing
WS/15144/2023/00491,Uttar Pradesh,BADAUN,MEERA IYER,School Building Repair,"Repair and renovation of Govt. School building at Station Road, BADAUN",1557814.14,14-05-2023,15-11-2023,United Rural Builders,Sanctioned
WS/64415/2023/00565,Bihar,AURANGABAD_BR,ABDUL RASHID SHEIKH,Streetlight Installation,"LED streetlight installation along Shanti Nagar road, AURANGABAD_BR",228051.44,04-06-2023,03-10-2023,Bharat Infra Solutions,Ongoing
WS/84946/2024/00083,Bihar,PATNA_SAHIB,RAVI SHANKAR PRASAD JI,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, PATNA_SAHIB",290200.52,10-07-2024,19-02-2025,Ganesh Engineering Works,Ongoing
WS/50088/2023/00800,Bihar,GAYA,RAVI SHANKAR PRASAD JI,Drainage / Nala,"Covered drain construction from Ambedkar Colony to Nehru Path, GAYA",797566.92,27-09-2023,05-04-2024,Sri Lakshmi Contractors,Sanctioned
WS/84202/2025/00640,Maharashtra,AURANGABAD_MH,ADHIKARI SOUMENDU,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, AURANGABAD_MH",374641.63,05-02-2025,01-12-2025,Bharat Infra Solutions,Sanctioned
WS/89194/2024/00355,Kerala,ATTINGAL,ABHIJIT GANGOPADHYAY,School Building Repair,"Construction of additional classroom at Bazaar Road school, ATTINGAL",977273.97,22-10-2024,28-09-2025,Shree Balaji Construction Co.,Completed
WS/43386/2024/00037,Bihar,GAYA,ADV K FRANCIS GEORGE,School Building Repair,"Construction of additional classroom at Andouli school, GAYA",1248692.39,05-09-2024,02-01-2025,Sri Lakshmi Contractors,Ongoing
WS/59250/2024/00793,Jammu And Kashmir,JAMMU,ABHAY KUMAR SINHA,Road Construction,Construction of concrete road from Gandhi Chowk to Panchayat Bhavan Marg in JAMMU,1033844.32,23-08-2024,22-03-2025,Ganesh Engineering Works,Ongoing
WS/61546/2025/00701,Kerala,ATTINGAL,ABHAY KUMAR SINHA,Community Hall,"Construction of community hall at Andouli, ATTINGAL",2287011.43,31-12-2025,24-05-2026,Sri Lakshmi Contractors,Completed
WS/55829/2024/00506,West Bengal,TAMLUK,ADITYA YADAV,Solar Light Installation,"Solar light installation near Station Road hanuman mandir, TAMLUK",315357.8,29-05-2024,24-02-2025,Shree Balaji Construction Co.,New Recommendation
WS/98288/2024/00242,Uttar Pradesh,KANPUR,PRIYA VERMA,Streetlight Installation,"Installation of streetlights at Kisan Nagar chowk, KANPUR",201404.43,26-03-2024,14-01-2025,Jai Hind Infrastructure,Ongoing
WS/16256/2025/00706,Uttar Pradesh,BADAUN,ABDUL RASHID SHEIKH,Solar Light Installation,"Solar street light at Panchayat Bhavan Marg chowk parisar, BADAUN",230542.6,02-01-2025,17-11-2025,New India Construction Co.,Completed
WS/66841/2024/00338,Maharashtra,HINGOLI,ADV GOWAAL KAGADA PADAVI,Community Hall,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, HINGOLI",2639815.78,14-09-2024,14-09-2025,United Rural Builders,New Recommendation
WS/85936/2024/00561,West Bengal,TAMLUK,ADITYA YADAV,Solar Light Installation,"Solar light installation near Gandhi Chowk hanuman mandir, TAMLUK",328847.48,17-09-2024,08-07-2025,Progressive Engineers & Contractors,Ongoing
WS/82129/2024/00971,Jammu And Kashmir,SRINAGAR,AASHTIKAR PATIL NAGESH BAPURAO,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, BARAMULLAH",1326639.71,07-07-2024,04-03-2025,Bharat Infra Solutions,Completed
WS/70577/2023/00780,Maharashtra,AURANGABAD_MH,ADV K FRANCIS GEORGE,School Building Repair,"Construction of additional classroom at Andouli school, AURANGABAD_MH",1031310.38,15-12-2023,29-05-2024,United Rural Builders,Completed
WS/68743/2023/00061,Maharashtra,NANDURBAR(ST),SANJAY DESHMUKH,School Building Repair,"Construction of additional classroom at Andouli school, NANDURBAR(ST)",1177246.7,03-12-2023,01-10-2024,Progressive Engineers & Contractors,Sanctioned
WS/36037/2024/00343,West Bengal,TAMLUK,ANITA JOSHI,Water Supply / Handpump,"Water supply pipeline extension to Bazaar Road area, TAMLUK",632388.57,15-01-2024,12-05-2024,Om Sai Infra Pvt Ltd,Sanctioned
WS/66087/2024/00817,Kerala,KOTTAYAM,MEERA IYER,Drainage / Nala,"Construction of drainage/nala near Ambedkar Colony area, KOTTAYAM",846086.71,14-05-2024,22-05-2025,Om Sai Infra Pvt Ltd,New Recommendation
WS/61213/2024/00268,Kerala,IDUKKI,ADV DEAN KURIAKOSE,Road Construction,"CC road construction at Bazaar Road ward, IDUKKI",1326841.71,05-09-2024,16-02-2025,National Builders & Contractors,New Recommendation
WS/20142/2023/00946,Maharashtra,AURANGABAD_MH,ABU TAHER KHAN,Road Construction,Construction of concrete road from Ambedkar Colony to Vivekanand Marg in AURANGABAD_MH,1041120.16,25-12-2023,25-05-2024,Shree Balaji Construction Co.,Completed
WS/96947/2023/00347,Bihar,PATNA_SAHIB,ADV K FRANCIS GEORGE,School Building Repair,"Construction of additional classroom at Panchayat Bhavan Marg school, PATNA_SAHIB",1433956.27,07-07-2023,28-09-2023,Shree Balaji Construction Co.,Ongoing
WS/39154/2023/00034,West Bengal,MURSHIDABAD,ADV DEAN KURIAKOSE,Drainage / Nala,"Covered drain construction from Gandhi Chowk to Ambedkar Colony, MURSHIDABAD",1008637.06,20-07-2023,31-03-2024,Shree Balaji Construction Co.,Sanctioned
WS/60755/2023/00716,West Bengal,HOWRAH,ABU TAHER KHAN,Solar Light Installation,"Solar street light at Gandhi Chowk chowk parisar, HOWRAH",354752.45,01-07-2023,14-07-2024,Progressive Engineers & Contractors,Sanctioned
WS/27984/2025/00270,Uttar Pradesh,BADAUN,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Installation of handpump at Kisan Nagar village, BADAUN",719185.46,28-04-2025,24-09-2025,Om Sai Infra Pvt Ltd,Completed
WS/85090/2024/00483,Maharashtra,NAGPUR,ANITA JOSHI,Water Supply / Handpump,"Water supply pipeline extension to Shanti Nagar area, NAGPUR",628713.88,31-12-2024,25-06-2025,Sri Lakshmi Contractors,Ongoing
WS/59105/2023/00785,West Bengal,KANTHI,MEERA IYER,Road Construction,Construction of concrete road from Gandhi Chowk to Gandhi Chowk in KANTHI,1816949.1,20-05-2023,28-01-2024,Ganesh Engineering Works,Ongoing
WS/89822/2025/00114,Uttar Pradesh,LUCKNOW,SANJAY DESHMUKH,Solar Light Installation,"Solar street light at Panchayat Bhavan Marg chowk parisar, LUCKNOW",296338.0,25-05-2025,07-06-2026,Jai Hind Infrastructure,Completed
WS/83007/2024/00662,Kerala,IDUKKI,PRIYA VERMA,Water Supply / Handpump,"Water supply pipeline extension to Andouli area, IDUKKI",496303.67,02-12-2024,11-06-2025,Om Sai Infra Pvt Ltd,Completed
WS/54092/2023/00059,Bihar,AURANGABAD_BR,ABHAY KUMAR SINHA,Community Hall,"Multipurpose community centre building at Andouli panchayat, AURANGABAD_BR",3704077.96,06-12-2023,28-09-2024,Jai Hind Infrastructure,Sanctioned
WS/54359/2023/00409,Kerala,IDUKKI,MEERA IYER,Solar Light Installation,"Solar light installation near Station Road hanuman mandir, IDUKKI",344759.0,13-09-2023,02-01-2024,Ganesh Engineering Works,Sanctioned
WS/35265/2025/00320,Kerala,ERNAKULAM,ABU TAHER KHAN,Solar Light Installation,"Solar light installation near Gandhi Chowk hanuman mandir, ERNAKULAM",397953.37,17-09-2025,03-09-2026,Shree Balaji Construction Co.,Ongoing
WS/94466/2025/00651,Jammu And Kashmir,SRINAGAR,ADITYA YADAV,Solar Light Installation,"Solar street light at Subhash Nagar chowk parisar, SRINAGAR",411586.35,24-10-2025,04-08-2026,Progressive Engineers & Contractors,New Recommendation
WS/97706/2023/00915,Jammu And Kashmir,BARAMULLAH,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Ram Nagar road, BARAMULLAH",1133939.13,14-06-2023,05-12-2023,Sri Lakshmi Contractors,Sanctioned
WS/49021/2024/00248,Uttar Pradesh,BADAUN,MEERA IYER,Streetlight Installation,"LED streetlight installation along Andouli road, BADAUN",248343.87,09-06-2024,29-09-2024,Deep Construction Co.,Ongoing
WS/65550/2024/00740,Maharashtra,NAGPUR,ADITYA YADAV,Community Hall,"Construction of community hall at Ram Nagar, NAGPUR",1704522.25,06-11-2024,17-01-2025,Deep Construction Co.,Ongoing
WS/43016/2024/00548,West Bengal,TAMLUK,ANITA JOSHI,Road Construction,Construction of concrete road from Gandhi Chowk to Andouli in TAMLUK,1965349.24,25-03-2024,13-09-2024,Deep Construction Co.,New Recommendation
WS/96200/2024/00077,Uttar Pradesh,BADAUN,MEERA IYER,Road Construction,"Widening and strengthening of road near Station Road village, BADAUN",1334679.17,26-02-2024,24-06-2024,Sri Lakshmi Contractors,Completed
WS/40490/2024/00295,Uttar Pradesh,LUCKNOW,VIKRAM SINGH RATHORE,Streetlight Installation,"Installation of streetlights at Bazaar Road chowk, LUCKNOW",289073.88,15-08-2024,02-11-2024,Om Sai Infra Pvt Ltd,Completed
WS/32439/2024/00162,Jammu And Kashmir,JAMMU,ADV GOWAAL KAGADA PADAVI,Streetlight Installation,"LED streetlight installation along Panchayat Bhavan Marg road, JAMMU",390065.11,27-08-2024,19-09-2025,National Builders & Contractors,Ongoing
WS/49926/2023/00725,Maharashtra,PUNE,RAVI SHANKAR PRASAD JI,Streetlight Installation,"LED streetlight installation along Bazaar Road road, PUNE",453793.84,09-12-2023,17-11-2024,Progressive Engineers & Contractors,Ongoing
WS/77964/2023/00773,Bihar,AURANGABAD_BR,ADV ADOOR PRAKASH,Community Hall,"Multipurpose community centre building at Andouli panchayat, AURANGABAD_BR",3148924.73,11-06-2023,29-03-2024,Shree Balaji Construction Co.,New Recommendation
WS/86015/2025/00766,Kerala,KOTTAYAM,AASHTIKAR PATIL NAGESH BAPURAO,Solar Light Installation,"Solar street light at Panchayat Bhavan Marg chowk parisar, KOTTAYAM",204815.95,21-07-2025,15-03-2026,Sri Lakshmi Contractors,Sanctioned
WS/22475/2023/00258,Maharashtra,NAGPUR,ADV GOWAAL KAGADA PADAVI,Water Supply / Handpump,"Water supply pipeline extension to Andouli area, NAGPUR",689608.96,26-11-2023,31-08-2024,Progressive Engineers & Contractors,Completed
WS/73691/2023/00813,Kerala,ATTINGAL,ABHIJIT GANGOPADHYAY,Drainage / Nala,"Covered drain construction from Ambedkar Colony to Vivekanand Marg, ATTINGAL",770101.09,08-04-2023,16-12-2023,Jai Hind Infrastructure,New Recommendation
WS/52714/2024/00230,West Bengal,KANTHI,ADHIKARI SOUMENDU,School Building Repair,"Construction of additional classroom at Subhash Nagar school, KANTHI",1756215.31,24-01-2024,11-02-2025,Metro Civil Works Pvt Ltd,Ongoing
WS/98501/2023/00024,Uttar Pradesh,LUCKNOW,ABDUL RASHID SHEIKH,Streetlight Installation,"Installation of streetlights at Gandhi Chowk chowk, LUCKNOW",186050.16,08-10-2023,11-01-2024,Jai Hind Infrastructure,Completed
WS/39402/2025/00339,West Bengal,KANTHI,ADITYA YADAV,Drainage / Nala,"Construction of drainage/nala near Kisan Nagar area, KANTHI",1153275.92,27-10-2025,20-07-2026,Shree Balaji Construction Co.,Ongoing
WS/14959/2023/00554,Uttar Pradesh,VARANASI,MEERA IYER,Road Construction,"Widening and strengthening of road near Panchayat Bhavan Marg village, VARANASI",2324071.07,31-08-2023,28-09-2024,Progressive Engineers & Contractors,Completed
WS/85989/2023/00616,Uttar Pradesh,LUCKNOW,ADHIKARI SOUMENDU,Water Supply / Handpump,"Installation of handpump at Vivekanand Marg village, LUCKNOW",446073.57,02-07-2023,13-11-2023,Deep Construction Co.,New Recommendation
